ansatz_type,problem_index,trial,energy,exact_energy,error,time,build_time,opt_time,params,depth,converged,adapt_iterations,adapt_initial_energy,adapt_energy_drop,adapt_history_length,termination_criterion
MonteCarloMomentumBuilder,12,7,35.81305351745599,16.0,19.81305351745599,8.192224979400635,7.960865020751953,0.23135995864868164,21,17,False,,,,,
MonteCarloMomentumBuilder,1,8,9.608851766375503,6.0,3.608851766375503,9.214134693145752,8.952228784561157,0.2619059085845947,21,22,False,,,,,
MonteCarloMomentumBuilder,2,8,18.861127885745596,5.0,13.861127885745596,9.11760139465332,8.855162143707275,0.2624392509460449,21,26,False,,,,,
MonteCarloMomentumBuilder,3,8,21.35942779316715,4.0,17.35942779316715,8.578346014022827,8.33567500114441,0.24267101287841797,21,15,False,,,,,
MonteCarloMomentumBuilder,4,8,6.200515717192879,6.0,0.20051571719287864,8.774942874908447,8.535605907440186,0.23933696746826172,21,18,True,,,,,
MonteCarloMomentumBuilder,5,8,12.442501660145274,12.0,0.4425016601452736,9.092022180557251,8.843032121658325,0.24899005889892578,21,22,True,,,,,
MonteCarloMomentumBuilder,6,8,26.996185515757944,15.0,11.996185515757944,8.21445107460022,7.975874185562134,0.23857688903808594,21,15,False,,,,,
MonteCarloMomentumBuilder,7,8,14.271370235941166,14.0,0.27137023594116627,9.164095878601074,8.91982102394104,0.24427485466003418,21,20,True,,,,,
MonteCarloMomentumBuilder,8,8,4.1588658399655944,4.0,0.15886583996559445,8.458524942398071,8.226109981536865,0.23241496086120605,21,14,True,,,,,
MonteCarloMomentumBuilder,9,8,17.701876601698466,17.0,0.7018766016984657,8.475215911865234,8.234073162078857,0.24114274978637695,21,13,False,,,,,
MonteCarloMomentumBuilder,10,8,25.182465772337892,13.0,12.182465772337892,9.15885615348816,8.912475109100342,0.24638104438781738,21,22,False,,,,,
MonteCarloMomentumBuilder,11,8,8.838868150747398,8.0,0.8388681507473983,8.56174898147583,8.32148003578186,0.24026894569396973,21,15,False,,,,,
MonteCarloMomentumBuilder,12,8,28.984608748321303,16.0,12.984608748321303,8.126799821853638,7.884232997894287,0.24256682395935059,21,17,False,,,,,
MonteCarloMomentumBuilder,1,9,6.146826122603309,6.0,0.14682612260330874,8.370515823364258,8.131487846374512,0.2390279769897461,21,22,True,,,,,
MonteCarloMomentumBuilder,2,9,18.985058768542096,5.0,13.985058768542096,8.947956085205078,8.704631805419922,0.24332427978515625,21,26,False,,,,,
MonteCarloMomentumBuilder,3,9,4.826404257666363,4.0,0.826404257666363,8.506421089172363,8.253862857818604,0.25255823135375977,21,15,False,,,,,
MonteCarloMomentumBuilder,4,9,26.237391956008267,6.0,20.237391956008267,8.729792594909668,8.469328880310059,0.2604637145996094,21,18,False,,,,,
MonteCarloMomentumBuilder,5,9,12.088843445616364,12.0,0.08884344561636404,9.038667917251587,8.785915851593018,0.25275206565856934,21,22,True,,,,,
MonteCarloMomentumBuilder,6,9,25.093410303089147,15.0,10.093410303089147,8.245152235031128,7.996222019195557,0.2489302158355713,21,15,False,,,,,
MonteCarloMomentumBuilder,7,9,24.081569473859126,14.0,10.081569473859126,9.19101619720459,8.95018219947815,0.24083399772644043,21,20,False,,,,,
MonteCarloMomentumBuilder,8,9,4.138103189473634,4.0,0.1381031894736342,8.412523984909058,8.176188945770264,0.23633503913879395,21,14,True,,,,,
MonteCarloMomentumBuilder,9,9,18.329016073705226,17.0,1.3290160737052261,8.468675136566162,8.22980809211731,0.23886704444885254,21,13,False,,,,,
MonteCarloMomentumBuilder,10,9,16.79563550905424,13.0,3.7956355090542395,9.853748559951782,9.576024770736694,0.2777237892150879,21,22,False,,,,,
MonteCarloMomentumBuilder,11,9,9.110122717034255,8.0,1.1101227170342547,8.621013164520264,8.377784967422485,0.24322819709777832,21,15,False,,,,,
MonteCarloMomentumBuilder,12,9,16.421767211043623,16.0,0.4217672110436226,8.086211204528809,7.855147123336792,0.2310640811920166,21,17,True,,,,,
MonteCarloMomentumBuilder,1,10,24.885489610561915,6.0,18.885489610561915,8.446935892105103,8.204763889312744,0.2421720027923584,21,22,False,,,,,
MonteCarloMomentumBuilder,2,10,8.288521848883336,5.0,3.2885218488833363,8.974879026412964,8.709275245666504,0.26560378074645996,21,26,False,,,,,
MonteCarloMomentumBuilder,3,10,22.897637817395207,4.0,18.897637817395207,8.493636846542358,8.26229214668274,0.23134469985961914,21,15,False,,,,,
MonteCarloMomentumBuilder,4,10,22.906181791687658,6.0,16.906181791687658,8.937506198883057,8.700594186782837,0.23691201210021973,21,18,False,,,,,
MonteCarloMomentumBuilder,5,10,24.75360599284076,12.0,12.753605992840761,933.9537346363068,933.7105867862701,0.2431478500366211,21,22,False,,,,,
MonteCarloMomentumBuilder,6,10,16.710225747038102,15.0,1.710225747038102,12.710334062576294,12.47266697883606,0.23766708374023438,21,15,False,,,,,
MonteCarloMomentumBuilder,7,10,24.661034207620357,14.0,10.661034207620357,987.223198890686,986.9499819278717,0.27321696281433105,21,20,False,,,,,
MonteCarloMomentumBuilder,8,10,4.094720523494027,4.0,0.09472052349402738,238.08883833885193,237.82536029815674,0.26347804069519043,21,14,True,,,,,
MonteCarloMomentumBuilder,9,10,24.144327844703326,17.0,7.1443278447033265,9.88916563987732,9.627190828323364,0.2619748115539551,21,13,False,,,,,
MonteCarloMomentumBuilder,10,10,14.29766379587075,13.0,1.2976637958707506,9.678964853286743,9.396409034729004,0.28255581855773926,21,22,False,,,,,
MonteCarloMomentumBuilder,11,10,20.04153062204638,8.0,12.04153062204638,9.453280210494995,8.701210975646973,0.7520692348480225,21,15,False,,,,,
MonteCarloMomentumBuilder,12,10,22.16347126102996,16.0,6.163471261029962,10.387652158737183,10.084747076034546,0.3029050827026367,21,17,False,,,,,
ADAPT-VQE,1,1,6.000000003675243,6.0,3.6752432208686514e-09,1.0129239559173584,1.0129239559173584,0.0,9,2,True,10.0,39.54808255715756,33.54808255348232,9.0,Threshold converged
ADAPT-VQE,2,1,5.000000004685276,5.0,4.685276167037955e-09,0.9727461338043213,0.9727461338043213,0.0,10,3,True,11.0,39.23109960217233,34.23109959748705,10.0,Threshold converged
ADAPT-VQE,3,1,4.000006597787536,4.0,6.597787535866928e-06,0.8346621990203857,0.8346621990203857,0.0,9,2,True,10.0,38.91411664718709,34.914110049399554,9.0,Aborted due to a cyclic selection of evolution operators
ADAPT-VQE,4,1,6.000000000001341,6.0,1.341149413747189e-12,0.7393381595611572,0.7393381595611572,0.0,9,2,True,10.0,39.54808255715757,33.54808255715623,9.0,Threshold converged
ADAPT-VQE,5,1,12.000000000004656,12.0,4.6558312760680565e-12,0.9079382419586182,0.9079382419586182,0.0,9,2,True,10.0,41.44998028706893,29.449980287064278,9.0,Threshold converged
ADAPT-VQE,6,1,15.00000001023977,15.0,1.0239769920872277e-08,0.7902090549468994,0.7902090549468994,0.0,10,3,True,11.0,42.40092915202462,27.400929141784847,10.0,Threshold converged
