ansatz_type,problem_index,trial,energy,exact_energy,error,time,build_time,opt_time,params,depth,converged,adapt_iterations,adapt_initial_energy,adapt_energy_drop,adapt_history_length,termination_criterion
MomentumBuilder,7,3,-14.895473163490394,-24.0,9.104526836509606,0.6017410755157471,0.37539219856262207,0.226348876953125,11,9,False,,,,,
MomentumBuilder,8,3,-9.99954949913456,-10.0,0.0004505008654405174,0.28784704208374023,0.12588191032409668,0.16196513175964355,10,12,True,,,,,
MomentumBuilder,9,3,-7.824657510058383,-10.0,2.1753424899416167,0.2972080707550049,0.13504791259765625,0.16216015815734863,10,14,False,,,,,
MomentumBuilder,10,3,-14.432001032971932,-15.0,0.5679989670280676,0.3642401695251465,0.11432909965515137,0.24991106986999512,10,13,False,,,,,
MomentumBuilder,11,3,-6.203923155325461,-12.0,5.796076844674539,1.7937331199645996,1.495910882949829,0.2978222370147705,20,12,False,,,,,
MomentumBuilder,12,3,-15.769273111888012,-10.0,5.769273111888012,0.8339388370513916,0.3472929000854492,0.4866459369659424,11,10,False,,,,,
MomentumBuilder,1,4,-9.999999993118848,-10.0,6.881151648485684e-09,0.03298521041870117,0.0008752346038818359,0.032109975814819336,1,1,True,,,,,
MomentumBuilder,2,4,10.000000006611288,500.0,489.9999999933887,0.024970054626464844,9.012222290039062e-05,0.024879932403564453,1,1,False,,,,,
MomentumBuilder,3,4,-9.999975318777821,-10.0,2.4681222178912776e-05,0.19423675537109375,0.03649592399597168,0.15774083137512207,8,13,True,,,,,
MomentumBuilder,4,4,-12.838442185295605,-13.0,0.1615578147043948,0.36669921875,0.14125299453735352,0.22544622421264648,8,13,False,,,,,
MomentumBuilder,5,4,-21.415277990258588,-22.0,0.5847220097414123,0.2766757011413574,0.0683436393737793,0.20833206176757812,9,14,False,,,,,
MomentumBuilder,6,4,-2.6110233731478596,-7.0,4.38897662685214,0.4807271957397461,0.1617741584777832,0.3189530372619629,10,13,False,,,,,
MomentumBuilder,7,4,-14.895473163490394,-24.0,9.104526836509606,0.5133090019226074,0.31352877616882324,0.19978022575378418,11,9,False,,,,,
MomentumBuilder,8,4,-9.99954949913456,-10.0,0.0004505008654405174,0.28589463233947754,0.12697887420654297,0.15891575813293457,10,12,True,,,,,
MomentumBuilder,9,4,-7.824657510058383,-10.0,2.1753424899416167,0.2908651828765869,0.12240719795227051,0.1684579849243164,10,14,False,,,,,
MomentumBuilder,10,4,-14.432001032971932,-15.0,0.5679989670280676,0.2728738784790039,0.11568999290466309,0.15718388557434082,10,13,False,,,,,
